n,version,label,time_seconds,primes_found
10000,1,naive,0.017021,1229
10000,1,naive,0.017205,1229
10000,1,naive,0.018460,1229
10000,2,sqrt,0.000373,1229
10000,2,sqrt,0.000406,1229
10000,2,sqrt,0.000389,1229
10000,3,sqrt+odd,0.000191,1229
10000,3,sqrt+odd,0.000196,1229
10000,3,sqrt+odd,0.000198,1229
30000,1,naive,0.137769,3245
30000,1,naive,0.144693,3245
30000,1,naive,0.158318,3245
30000,2,sqrt,0.001636,3245
30000,2,sqrt,0.001645,3245
30000,2,sqrt,0.001628,3245
30000,3,sqrt+odd,0.000885,3245
30000,3,sqrt+odd,0.001007,3245
30000,3,sqrt+odd,0.000864,3245
100000,1,naive,1.462402,9592
100000,1,naive,1.423398,9592
100000,1,naive,1.395058,9592
100000,2,sqrt,0.008597,9592
100000,2,sqrt,0.008763,9592
100000,2,sqrt,0.008336,9592
100000,3,sqrt+odd,0.004608,9592
100000,3,sqrt+odd,0.005050,9592
100000,3,sqrt+odd,0.004757,9592
300000,1,naive,11.439352,25997
300000,1,naive,11.299372,25997
300000,1,naive,11.362248,25997
300000,2,sqrt,0.039236,25997
300000,2,sqrt,0.038872,25997
300000,2,sqrt,0.039701,25997
300000,3,sqrt+odd,0.019502,25997
300000,3,sqrt+odd,0.020918,25997
300000,3,sqrt+odd,0.021409,25997
1000000,1,naive,114.944743,78498
1000000,1,naive,114.284686,78498
1000000,1,naive,113.758375,78498
1000000,2,sqrt,0.215340,78498
1000000,2,sqrt,0.216615,78498
1000000,2,sqrt,0.211434,78498
1000000,3,sqrt+odd,0.104392,78498
1000000,3,sqrt+odd,0.108340,78498
1000000,3,sqrt+odd,0.105037,78498
