experiment,program,n,threads,rep,time_seconds,primes_found
vary_n,task1,10000,1,1,0.000184,1229
vary_n,task2,10000,8,1,0.001824,1229
vary_n,task3,10000,8,1,0.008615,1229
vary_n,task1,10000,1,2,0.000184,1229
vary_n,task2,10000,8,2,0.001917,1229
vary_n,task3,10000,8,2,0.001937,1229
vary_n,task1,10000,1,3,0.000193,1229
vary_n,task2,10000,8,3,0.001832,1229
vary_n,task3,10000,8,3,0.019648,1229
vary_n,task1,15000,1,1,0.000316,1754
vary_n,task2,15000,8,1,0.002011,1754
vary_n,task3,15000,8,1,0.015381,1754
vary_n,task1,15000,1,2,0.000460,1754
vary_n,task2,15000,8,2,0.002028,1754
vary_n,task3,15000,8,2,0.018937,1754
vary_n,task1,15000,1,3,0.000500,1754
vary_n,task2,15000,8,3,0.002306,1754
vary_n,task3,15000,8,3,0.016741,1754
vary_n,task1,22000,1,1,0.000592,2464
vary_n,task2,22000,8,1,0.002026,2464
vary_n,task3,22000,8,1,0.006491,2464
vary_n,task1,22000,1,2,0.000549,2464
vary_n,task2,22000,8,2,0.001893,2464
vary_n,task3,22000,8,2,0.019931,2464
vary_n,task1,22000,1,3,0.000595,2464
vary_n,task2,22000,8,3,0.002444,2464
vary_n,task3,22000,8,3,0.009515,2464
vary_n,task1,33000,1,1,0.000950,3538
vary_n,task2,33000,8,1,0.002055,3538
vary_n,task3,33000,8,1,0.016216,3538
vary_n,task1,33000,1,2,0.000973,3538
vary_n,task2,33000,8,2,0.002412,3538
vary_n,task3,33000,8,2,0.002936,3538
vary_n,task1,33000,1,3,0.001144,3538
vary_n,task2,33000,8,3,0.002197,3538
vary_n,task3,33000,8,3,0.007510,3538
vary_n,task1,47000,1,1,0.001730,4851
vary_n,task2,47000,8,1,0.002214,4851
vary_n,task3,47000,8,1,0.014791,4851
vary_n,task1,47000,1,2,0.001724,4851
vary_n,task2,47000,8,2,0.002617,4851
vary_n,task3,47000,8,2,0.007148,4851
vary_n,task1,47000,1,3,0.001709,4851
vary_n,task2,47000,8,3,0.003251,4851
vary_n,task3,47000,8,3,0.007260,4851
vary_n,task1,68000,1,1,0.003277,6774
vary_n,task2,68000,8,1,0.010777,6774
vary_n,task3,68000,8,1,0.002905,6774
vary_n,task1,68000,1,2,0.002452,6774
vary_n,task2,68000,8,2,0.002375,6774
vary_n,task3,68000,8,2,0.023225,6774
vary_n,task1,68000,1,3,0.002628,6774
vary_n,task2,68000,8,3,0.002225,6774
vary_n,task3,68000,8,3,0.014873,6774
vary_n,task1,100000,1,1,0.004213,9592
vary_n,task2,100000,8,1,0.002896,9592
vary_n,task3,100000,8,1,0.024509,9592
vary_n,task1,100000,1,2,0.004366,9592
vary_n,task2,100000,8,2,0.003489,9592
vary_n,task3,100000,8,2,0.016597,9592
vary_n,task1,100000,1,3,0.004420,9592
vary_n,task2,100000,8,3,0.002952,9592
vary_n,task3,100000,8,3,0.008138,9592
vary_n,task1,150000,1,1,0.007741,13848
vary_n,task2,150000,8,1,0.004706,13848
vary_n,task3,150000,8,1,0.017125,13848
vary_n,task1,150000,1,2,0.007876,13848
vary_n,task2,150000,8,2,0.004049,13848
vary_n,task3,150000,8,2,0.015536,13848
vary_n,task1,150000,1,3,0.007783,13848
vary_n,task2,150000,8,3,0.004031,13848
vary_n,task3,150000,8,3,0.007424,13848
vary_n,task1,220000,1,1,0.012634,19618
vary_n,task2,220000,8,1,0.006166,19618
vary_n,task3,220000,8,1,0.014626,19618
vary_n,task1,220000,1,2,0.013684,19618
vary_n,task2,220000,8,2,0.005948,19618
vary_n,task3,220000,8,2,0.015386,19618
vary_n,task1,220000,1,3,0.012670,19618
vary_n,task2,220000,8,3,0.006741,19618
vary_n,task3,220000,8,3,0.016739,19618
vary_n,task1,330000,1,1,0.022851,28404
vary_n,task2,330000,8,1,0.009269,28404
vary_n,task3,330000,8,1,0.018032,28404
vary_n,task1,330000,1,2,0.025755,28404
vary_n,task2,330000,8,2,0.010129,28404
vary_n,task3,330000,8,2,0.018441,28404
vary_n,task1,330000,1,3,0.023817,28404
vary_n,task2,330000,8,3,0.010627,28404
vary_n,task3,330000,8,3,0.029723,28404
vary_n,task1,470000,1,1,0.041428,39223
vary_n,task2,470000,8,1,0.014296,39223
vary_n,task3,470000,8,1,0.013165,39223
vary_n,task1,470000,1,2,0.036943,39223
vary_n,task2,470000,8,2,0.012083,39223
vary_n,task3,470000,8,2,0.032075,39223
vary_n,task1,470000,1,3,0.036940,39223
vary_n,task2,470000,8,3,0.016915,39223
vary_n,task3,470000,8,3,0.023068,39223
vary_n,task1,680000,1,1,0.058844,55063
vary_n,task2,680000,8,1,0.024044,55063
vary_n,task3,680000,8,1,0.029434,55063
vary_n,task1,680000,1,2,0.060482,55063
vary_n,task2,680000,8,2,0.020566,55063
vary_n,task3,680000,8,2,0.032408,55063
vary_n,task1,680000,1,3,0.058892,55063
vary_n,task2,680000,8,3,0.028827,55063
vary_n,task3,680000,8,3,0.036007,55063
vary_n,task1,1000000,1,1,0.102846,78498
vary_n,task2,1000000,8,1,0.039586,78498
vary_n,task3,1000000,8,1,0.038189,78498
vary_n,task1,1000000,1,2,0.103123,78498
vary_n,task2,1000000,8,2,0.033994,78498
vary_n,task3,1000000,8,2,0.029615,78498
vary_n,task1,1000000,1,3,0.102150,78498
vary_n,task2,1000000,8,3,0.047674,78498
vary_n,task3,1000000,8,3,0.038014,78498
vary_n,task1,1500000,1,1,0.182099,114155
vary_n,task2,1500000,8,1,0.053226,114155
vary_n,task3,1500000,8,1,0.060429,114155
vary_n,task1,1500000,1,2,0.190771,114155
vary_n,task2,1500000,8,2,0.061666,114155
vary_n,task3,1500000,8,2,0.066441,114155
vary_n,task1,1500000,1,3,0.182225,114155
vary_n,task2,1500000,8,3,0.063912,114155
vary_n,task3,1500000,8,3,0.050100,114155
vary_n,task1,2200000,1,1,0.303544,162662
vary_n,task2,2200000,8,1,0.127308,162662
vary_n,task3,2200000,8,1,0.096658,162662
vary_n,task1,2200000,1,2,0.310677,162662
vary_n,task2,2200000,8,2,0.097484,162662
vary_n,task3,2200000,8,2,0.159277,162662
vary_n,task1,2200000,1,3,0.304220,162662
vary_n,task2,2200000,8,3,0.097133,162662
vary_n,task3,2200000,8,3,0.103586,162662
vary_n,task1,3300000,1,1,0.559189,236900
vary_n,task2,3300000,8,1,0.139637,236900
vary_n,task3,3300000,8,1,0.175193,236900
vary_n,task1,3300000,1,2,0.551282,236900
vary_n,task2,3300000,8,2,0.154550,236900
vary_n,task3,3300000,8,2,0.156393,236900
vary_n,task1,3300000,1,3,0.549331,236900
vary_n,task2,3300000,8,3,0.164181,236900
vary_n,task3,3300000,8,3,0.157226,236900
vary_n,task1,4700000,1,1,0.904702,328964
vary_n,task2,4700000,8,1,0.243997,328964
vary_n,task3,4700000,8,1,0.243954,328964
vary_n,task1,4700000,1,2,0.951461,328964
vary_n,task2,4700000,8,2,0.234287,328964
vary_n,task3,4700000,8,2,0.238112,328964
vary_n,task1,4700000,1,3,0.890666,328964
vary_n,task2,4700000,8,3,0.214106,328964
vary_n,task3,4700000,8,3,0.261661,328964
vary_n,task1,6800000,1,1,1.506445,463872
vary_n,task2,6800000,8,1,0.333066,463872
vary_n,task3,6800000,8,1,0.364697,463872
vary_n,task1,6800000,1,2,1.535481,463872
vary_n,task2,6800000,8,2,0.352265,463872
vary_n,task3,6800000,8,2,0.539358,463872
vary_n,task1,6800000,1,3,1.545183,463872
vary_n,task2,6800000,8,3,0.349500,463872
vary_n,task3,6800000,8,3,0.366495,463872
vary_n,task1,10000000,1,1,2.596699,664579
vary_n,task2,10000000,8,1,0.585898,664579
vary_n,task3,10000000,8,1,0.601081,664579
vary_n,task1,10000000,1,2,2.662417,664579
vary_n,task2,10000000,8,2,0.577521,664579
vary_n,task3,10000000,8,2,0.593338,664579
vary_n,task1,10000000,1,3,2.601067,664579
vary_n,task2,10000000,8,3,0.672463,664579
vary_n,task3,10000000,8,3,0.625692,664579
vary_n,task1,12000000,1,1,3.349064,788060
vary_n,task2,12000000,8,1,0.769752,788060
vary_n,task3,12000000,8,1,0.726578,788060
vary_n,task1,12000000,1,2,3.527842,788060
vary_n,task2,12000000,8,2,0.734734,788060
vary_n,task3,12000000,8,2,0.714840,788060
vary_n,task1,12000000,1,3,3.506445,788060
vary_n,task2,12000000,8,3,0.743065,788060
vary_n,task3,12000000,8,3,0.724286,788060
vary_n,task1,15000000,1,1,4.636964,970704
vary_n,task2,15000000,8,1,1.122777,970704
vary_n,task3,15000000,8,1,0.975166,970704
vary_n,task1,15000000,1,2,4.651805,970704
vary_n,task2,15000000,8,2,1.159271,970704
vary_n,task3,15000000,8,2,0.991073,970704
vary_n,task1,15000000,1,3,4.646825,970704
vary_n,task2,15000000,8,3,1.173566,970704
vary_n,task3,15000000,8,3,1.154056,970704
vary_n,task1,18000000,1,1,6.020658,1151367
vary_n,task2,18000000,8,1,1.257659,1151367
vary_n,task3,18000000,8,1,1.207541,1151367
vary_n,task1,18000000,1,2,6.153853,1151367
vary_n,task2,18000000,8,2,1.197185,1151367
vary_n,task3,18000000,8,2,1.243142,1151367
vary_n,task1,18000000,1,3,6.123680,1151367
vary_n,task2,18000000,8,3,1.264825,1151367
vary_n,task3,18000000,8,3,1.243116,1151367
vary_n,task1,22000000,1,1,8.065495,1389261
vary_n,task2,22000000,8,1,1.780953,1389261
vary_n,task3,22000000,8,1,1.645250,1389261
vary_n,task1,22000000,1,2,8.097553,1389261
vary_n,task2,22000000,8,2,1.737986,1389261
vary_n,task3,22000000,8,2,1.794411,1389261
vary_n,task1,22000000,1,3,8.149166,1389261
vary_n,task2,22000000,8,3,1.691038,1389261
vary_n,task3,22000000,8,3,1.612597,1389261
vary_n,task1,26000000,1,1,10.131674,1624527
vary_n,task2,26000000,8,1,2.303597,1624527
vary_n,task3,26000000,8,1,2.055059,1624527
vary_n,task1,26000000,1,2,10.372344,1624527
vary_n,task2,26000000,8,2,2.402262,1624527
vary_n,task3,26000000,8,2,2.046256,1624527
vary_n,task1,26000000,1,3,10.234377,1624527
vary_n,task2,26000000,8,3,2.339071,1624527
vary_n,task3,26000000,8,3,2.075711,1624527
vary_n,task1,30000000,1,1,12.432456,1857859
vary_n,task2,30000000,8,1,2.721864,1857859
vary_n,task3,30000000,8,1,2.656303,1857859
vary_n,task1,30000000,1,2,12.889855,1857859
vary_n,task2,30000000,8,2,2.628922,1857859
vary_n,task3,30000000,8,2,2.593040,1857859
vary_n,task1,30000000,1,3,12.525885,1857859
vary_n,task2,30000000,8,3,2.744705,1857859
vary_n,task3,30000000,8,3,2.606553,1857859
vary_n,task1,34000000,1,1,15.061221,2089379
vary_n,task2,34000000,8,1,3.028857,2089379
vary_n,task3,34000000,8,1,3.113570,2089379
vary_n,task1,34000000,1,2,15.008185,2089379
vary_n,task2,34000000,8,2,3.052286,2089379
vary_n,task3,34000000,8,2,3.216162,2089379
vary_n,task1,34000000,1,3,14.819081,2089379
vary_n,task2,34000000,8,3,3.046398,2089379
vary_n,task3,34000000,8,3,4.829921,2089379
vary_n,task1,38000000,1,1,17.596264,2318966
