experiment,program,n,threads,rep,time_seconds,primes_found
vary_n,task1,10000,1,1,0.000192,1229
vary_n,task2,10000,8,1,0.001924,1229
vary_n,task3,10000,8,1,0.001523,1229
vary_n,task1,10000,1,2,0.000185,1229
vary_n,task2,10000,8,2,0.001823,1229
vary_n,task3,10000,8,2,0.015919,1229
vary_n,task1,10000,1,3,0.000184,1229
vary_n,task2,10000,8,3,0.001924,1229
vary_n,task3,10000,8,3,0.014739,1229
vary_n,task1,15000,1,1,0.000346,1754
vary_n,task2,15000,8,1,0.001930,1754
vary_n,task3,15000,8,1,0.014282,1754
vary_n,task1,15000,1,2,0.000316,1754
vary_n,task2,15000,8,2,0.002009,1754
vary_n,task3,15000,8,2,0.021575,1754
vary_n,task1,15000,1,3,0.000345,1754
vary_n,task2,15000,8,3,0.001829,1754
vary_n,task3,15000,8,3,0.006470,1754
vary_n,task1,22000,1,1,0.000544,2464
vary_n,task2,22000,8,1,0.002984,2464
vary_n,task3,22000,8,1,0.015404,2464
vary_n,task1,22000,1,2,0.000590,2464
vary_n,task2,22000,8,2,0.001829,2464
vary_n,task3,22000,8,2,0.016022,2464
vary_n,task1,22000,1,3,0.000535,2464
vary_n,task2,22000,8,3,0.001853,2464
vary_n,task3,22000,8,3,0.009219,2464
vary_n,task1,33000,1,1,0.001004,3538
vary_n,task2,33000,8,1,0.001898,3538
vary_n,task3,33000,8,1,0.002234,3538
vary_n,task1,33000,1,2,0.000938,3538
vary_n,task2,33000,8,2,0.001876,3538
vary_n,task3,33000,8,2,0.002146,3538
vary_n,task1,33000,1,3,0.000934,3538
vary_n,task2,33000,8,3,0.002083,3538
vary_n,task3,33000,8,3,0.001748,3538
vary_n,task1,47000,1,1,0.001678,4851
vary_n,task2,47000,8,1,0.002035,4851
vary_n,task3,47000,8,1,0.009235,4851
vary_n,task1,47000,1,2,0.001485,4851
vary_n,task2,47000,8,2,0.001999,4851
vary_n,task3,47000,8,2,0.019974,4851
vary_n,task1,47000,1,3,0.001542,4851
vary_n,task2,47000,8,3,0.001926,4851
vary_n,task3,47000,8,3,0.023784,4851
vary_n,task1,68000,1,1,0.002591,6774
vary_n,task2,68000,8,1,0.002468,6774
vary_n,task3,68000,8,1,0.024020,6774
vary_n,task1,68000,1,2,0.002531,6774
vary_n,task2,68000,8,2,0.002682,6774
vary_n,task3,68000,8,2,0.002898,6774
vary_n,task1,68000,1,3,0.002451,6774
vary_n,task2,68000,8,3,0.002574,6774
vary_n,task3,68000,8,3,0.020073,6774
vary_n,task1,100000,1,1,0.004264,9592
