experiment,n,threads,serial_s,pthread_s,openmp_s,speedup_pthread,speedup_openmp,pthread_mean_s,openmp_mean_s,pthread_spread_pct,openmp_spread_pct
vary_n,10000,8,0.000184,0.001824,0.001937,0.1009,0.0950,0.001858,0.010067,5.1,914.4
vary_n,15000,8,0.000316,0.002011,0.015381,0.1571,0.0205,0.002115,0.017020,14.7,23.1
vary_n,22000,8,0.000549,0.001893,0.006491,0.2900,0.0846,0.002121,0.011979,29.1,207.1
vary_n,33000,8,0.000950,0.002055,0.002936,0.4623,0.3236,0.002221,0.008887,17.4,452.3
vary_n,47000,8,0.001709,0.002214,0.007148,0.7719,0.2391,0.002694,0.009733,46.8,106.9
vary_n,68000,8,0.002452,0.002225,0.002905,1.1020,0.8441,0.005126,0.013668,384.4,699.5
vary_n,100000,8,0.004213,0.002896,0.008138,1.4548,0.5177,0.003112,0.016415,20.5,201.2
vary_n,150000,8,0.007741,0.004031,0.007424,1.9204,1.0427,0.004262,0.013362,16.7,130.7
vary_n,220000,8,0.012634,0.005948,0.014626,2.1241,0.8638,0.006285,0.015584,13.3,14.4
vary_n,330000,8,0.022851,0.009269,0.018032,2.4653,1.2672,0.010008,0.022065,14.7,64.8
vary_n,470000,8,0.036940,0.012083,0.013165,3.0572,2.8059,0.014431,0.022769,40.0,143.6
vary_n,680000,8,0.058844,0.020566,0.029434,2.8612,1.9992,0.024479,0.032616,40.2,22.3
vary_n,1000000,8,0.102150,0.033994,0.029615,3.0049,3.4493,0.040418,0.035273,40.2,29.0
vary_n,1500000,8,0.182099,0.053226,0.050100,3.4212,3.6347,0.059601,0.058990,20.1,32.6
vary_n,2200000,8,0.303544,0.097133,0.096658,3.1250,3.1404,0.107308,0.119840,31.1,64.8
vary_n,3300000,8,0.549331,0.139637,0.156393,3.9340,3.5125,0.152789,0.162937,17.6,12.0
vary_n,4700000,8,0.890666,0.214106,0.238112,4.1599,3.7405,0.230797,0.247909,14.0,9.9
vary_n,6800000,8,1.506445,0.333066,0.364697,4.5230,4.1307,0.344944,0.423517,5.8,47.9
vary_n,10000000,8,2.596699,0.577521,0.593338,4.4963,4.3764,0.611961,0.606704,16.4,5.5
vary_n,12000000,8,3.349064,0.734734,0.714840,4.5582,4.6851,0.749184,0.721901,4.8,1.6
vary_n,15000000,8,4.636964,1.122777,0.975166,4.1299,4.7551,1.151871,1.040098,4.5,18.3
vary_n,18000000,8,6.020658,1.197185,1.207541,5.0290,4.9859,1.239890,1.231266,5.6,2.9
vary_n,22000000,8,8.065495,1.691038,1.612597,4.7696,5.0016,1.736659,1.684086,5.3,11.3
vary_n,26000000,8,10.131674,2.303597,2.046256,4.3982,4.9513,2.348310,2.059009,4.3,1.4
vary_n,30000000,8,12.432456,2.628922,2.593040,4.7291,4.7945,2.698497,2.618632,4.4,2.4
vary_n,34000000,8,14.819081,3.028857,3.113570,4.8926,4.7595,3.042514,3.719884,0.8,55.1
vary_n,38000000,8,17.596264,3.499583,3.543352,5.0281,4.9660,3.680258,3.638266,13.0,7.8
vary_n,42000000,8,20.226356,4.142335,3.952341,4.8828,5.1176,4.218291,4.049681,3.6,5.3
vary_n,46000000,8,23.181526,4.690198,4.614254,4.9425,5.0239,4.818502,4.651217,4.2,1.6
vary_n,50000000,8,25.815838,5.294527,5.228298,4.8759,4.9377,5.409032,5.294962,4.3,3.4
vary_threads,10000000,1,2.659317,2.745178,2.787292,0.9687,0.9541,2.820772,2.821405,5.5,3.4
vary_threads,10000000,2,2.659317,1.610633,1.610497,1.6511,1.6512,1.658994,1.624483,5.9,1.4
vary_threads,10000000,3,2.659317,1.528144,1.489547,1.7402,1.7853,1.632212,1.603277,15.6,11.5
vary_threads,10000000,4,2.659317,0.860446,0.848880,3.0906,3.1327,0.870477,0.862886,2.2,2.8
vary_threads,10000000,5,2.659317,0.877555,0.846765,3.0304,3.1406,0.944391,0.881278,14.9,7.4
vary_threads,10000000,6,2.659317,0.896080,0.845223,2.9677,3.1463,0.916217,0.880150,4.7,9.2
vary_threads,10000000,7,2.659317,0.684549,0.656723,3.8848,4.0494,0.693090,0.682707,2.5,8.0
vary_threads,10000000,8,2.659317,0.563666,0.562096,4.7179,4.7311,0.585200,0.594007,9.0,12.9
vary_threads,10000000,10,2.659317,0.549032,0.536886,4.8436,4.9532,0.584529,0.576234,15.8,16.9
vary_threads,10000000,12,2.659317,0.580856,0.568257,4.5783,4.6798,0.600329,0.584069,7.1,6.8
vary_threads,10000000,16,2.659317,0.558304,0.580476,4.7632,4.5813,0.601459,0.592033,22.0,5.2
vary_threads,10000000,24,2.659317,0.565144,0.562071,4.7056,4.7313,0.582738,0.581242,7.3,9.1
vary_threads,10000000,32,2.659317,0.564470,0.566719,4.7112,4.6925,0.574608,0.578232,2.8,3.5
